date,XAG,XAU,XPD,XPT
2019-08-15,17.252878,1519.195554,1438.830876,841.423361
2019-08-16,17.175646,1515.231918,1449.061804,840.372999
2019-08-17,17.113085,1513.5855,1448.62,846.06
2019-08-18,17.113084,1513.343636,1448.62,846.06
2019-08-19,16.965615,1501.931856,1464.010345,850.003021
2019-08-20,17.040919,1502.386791,1478.65,854.96
2019-08-21,17.103238,1502.621124,1478.65,854.96
2019-08-22,17.058962,1499.377434,1479.044568,855.21231
2019-08-23,17.19583,1508.750794,1476.474969,858.522144
2019-08-24,17.41417,1527.561,1462.25,855.76
2019-08-25,17.434676,1529.192678,1462.25,855.76
2019-08-26,17.649734,1533.479911,1462.25,855.76
2019-08-27,17.917257,1534.805976,1479.189781,861.890425
2019-08-28,18.30307,1539.806508,1476.377294,884.493567
2019-08-29,18.398756,1536.350788,1482.091268,920.243309
2019-08-30,18.335509,1525.137557,1515.220526,931.376361
2019-08-31,18.37185,1520.531,1543.3,933.83
2019-09-01,18.3801,1521.306918,1543.3,933.83
2019-09-02,18.402988,1526.086664,1537.432346,931.031414
2019-09-03,18.7575,1535.813145,1538.524611,942.780047
2019-09-04,19.416894,1545.311609,1551.043712,973.502857
2019-09-05,19.089694,1533.027316,1560.519255,974.862061
2019-09-06,18.39454,1512.615212,1554.598068,954.980116
2019-09-07,18.17881,1507.116,1554.56,962.09
2019-09-08,18.175866,1507.005388,1554.56,962.09
2019-09-09,18.085272,1505.991236,1551.029805,954.050412
2019-09-10,17.985656,1491.608466,1555.453602,941.576766
2019-09-11,18.110524,1493.204504,1570.156582,939.558847
2019-09-12,18.135996,1500.812194,1599.344757,950.855018
2019-09-13,17.87536,1497.013253,1607.825318,953.263728
